seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr3	184051636	184051755	120	*	X10481	131408	184053717	184064063	10347	+	1961	upstream	1961	FAM131A
chr4	10080422	10080425	4	*	X10646	100423011	10080235	10080316	82	-	105	upstream	105	MIR3138
chr4	10082054	10082060	7	*	X10647	100423011	10080235	10080316	82	-	1737	upstream	1737	MIR3138
chr4	83820325	83820414	90	*	X10758	79725	83821837	83841438	19602	+	1422	upstream	1422	THAP9
chr5	64065075	64065115	41	*	X10949	285672	64013978	64064496	50519	-	578	upstream	578	SREK1IP1
chr5	140073000	140073089	90	*	X11095	3035	140053490	140071312	17823	-	1687	upstream	1687	HARS1
chr5	179225833	179225907	75	*	X11267	100302156	179225278	179225346	69	-	486	upstream	486	MIR1229
chr5	179227243	179227332	90	*	X11268	100302156	179225278	179225346	69	-	1896	upstream	1896	MIR1229
chr6	8088148	8088237	90	*	X11326	100124533	8086641	8086766	126	-	1381	upstream	1381	SCARNA27
chr6	42980363	42980408	46	*	X11614	116138	42981841	42989036	7196	+	1432	upstream	1432	KLHDC3
chr6	44222480	44222553	74	*	X11662	100616124	44221943	44222022	80	-	457	upstream	457	MIR4647
chr6	149720605	149720694	90	*	X11762	387082	149721495	149722182	688	+	800	upstream	800	SUMO4
chr6	159237187	159237276	90	*	X11809	101409257	159239011	159243272	4262	+	1734	upstream	1734	EZR-AS1
chr6	159238041	159238130	90	*	X11810	101409257	159239011	159243272	4262	+	880	upstream	880	EZR-AS1
chr7	22896293	22896352	60	*	X11954	692210	22896232	22896305	74	+	0	overlapEnd	60	SNORD93
chr7	26239172	26239291	120	*	X11966	11335	26240831	26253227	12397	+	1539	upstream	1539	CBX3
chr7	26239397	26239531	135	*	X11967	11335	26240831	26253227	12397	+	1299	upstream	1299	CBX3
chr7	27183466	27183495	30	*	X11969	3202	27180671	27183287	2617	-	178	upstream	178	HOXA5
chr7	56126519	56126638	120	*	X12039	677803	56128163	56128295	133	+	1524	upstream	1524	SNORA15
chr7	100173170	100173210	41	*	X12163	100316904	100169853	100171270	1418	-	1899	upstream	1899	SAP25
chr7	100287052	100287080	29	*	X12179	64599	100277130	100286870	9741	-	181	upstream	181	GIGYF1
chr7	100802474	100802614	141	*	X12198	100616117	100802754	100802836	83	+	139	upstream	139	MIR4653
chr7	100883721	100883753	33	*	X12205	24146	100875373	100882101	6729	-	1619	upstream	1619	CLDN15
chr7	100883850	100883960	111	*	X12206	24146	100875373	100882101	6729	-	1748	upstream	1748	CLDN15
chr7	127231661	127231780	120	*	X12236	29999	127231463	127241851	10389	+	0	inside	197	FSCN3
chr7	127721597	127721731	135	*	X12245	693178	127721913	127722012	100	+	181	upstream	181	MIR593
chr7	127949768	127949827	60	*	X12247	157247	127937738	127947816	10079	-	1951	upstream	1951	NA
chr8	6603411	6603587	177	*	X12420	100616372	6602689	6602761	73	-	649	upstream	649	MIR4659B
chr8	56986491	56986625	135	*	X12575	26795	56986398	56986460	63	-	30	upstream	30	SNORD54
chr8	67343806	67343867	62	*	X12593	137872	67344718	67381044	36327	+	850	upstream	850	ADHFE1
chr8	144895697	144895801	105	*	X12765	100126338	144895127	144895212	86	-	484	upstream	484	MIR937
chr8	144896072	144896161	90	*	X12766	100126338	144895127	144895212	86	-	859	upstream	859	MIR937
chr8	144898967	144898969	3	*	X12767	23513	144873090	144897549	24460	-	1417	upstream	1417	SCRIB
chr8	145021004	145021024	21	*	X12781	724031	145019359	145019447	89	-	1556	upstream	1556	MIR661
chr8	145584359	145584493	135	*	X12800	26233	145579088	145583036	3949	-	1322	upstream	1322	FBXL6
chr8	145619997	145620101	105	*	X12806	100126351	145619364	145619445	82	-	551	upstream	551	MIR939
chr8	145620610	145620729	120	*	X12807	100126351	145619364	145619445	82	-	1164	upstream	1164	MIR939
chr8	145620745	145620767	23	*	X12808	100126351	145619364	145619445	82	-	1299	upstream	1299	MIR939
chr8	145625492	145625530	39	*	X12813	100302196	145625476	145625559	84	-	0	inside	28	MIR1234
chr8	145625870	145626004	135	*	X12814	100302196	145625476	145625559	84	-	310	upstream	310	MIR1234
chr8	145626545	145626664	120	*	X12815	100302196	145625476	145625559	84	-	985	upstream	985	MIR1234
chr8	145654835	145654939	105	*	X12820	51160	145649000	145653927	4928	-	907	upstream	907	VPS28
chr8	145655150	145655239	90	*	X12821	51160	145649000	145653927	4928	-	1222	upstream	1222	VPS28
chr8	145728306	145728485	180	*	X12834	2875	145729465	145732555	3091	+	979	upstream	979	GPT
chr8	145741298	145741432	135	*	X12838	9684	145743349	145750559	7211	+	1916	upstream	1916	LRRC14
chr9	34397770	34397830	61	*	X12900	84688	34379017	34397849	18833	-	0	inside	18	C9orf24
chr9	35751077	35751211	135	*	X12920	57704	35736863	35749983	13121	-	1093	upstream	1093	GBA2
chr9	95378304	95378423	120	*	X12961	100128361	95380332	95382817	2486	+	1908	upstream	1908	LOC100128361
chr9	114693666	114693785	120	*	X13026	100616114	114694380	114694449	70	+	594	upstream	594	MIR4668
chr9	125643122	125643208	87	*	X13067	692206	125642492	125642598	107	-	523	upstream	523	SNORD90
chr9	125643917	125644021	105	*	X13068	692206	125642492	125642598	107	-	1318	upstream	1318	SNORD90
chr9	130211758	130211877	120	*	X13090	26783	130210781	130210916	136	-	841	upstream	841	SNORA65
chr9	130211758	130211877	120	*	X13090	90678	130213765	130265780	52016	+	1887	upstream	1887	LRSAM1
chr9	130555138	130555242	105	*	X13106	2356	130556876	130576556	19681	+	1633	upstream	1633	FPGS
chr9	136225049	136225057	9	*	X13240	6834	136218666	136223361	4696	-	1687	upstream	1687	SURF1
chr9	136225163	136225327	165	*	X13241	6834	136218666	136223361	4696	-	1801	upstream	1801	SURF1
chr9	138394312	138394441	130	*	X13259	138162	138387026	138392364	5339	-	1947	upstream	1947	C9orf116
chr9	140084884	140085016	133	*	X13332	29882	140069236	140083057	13822	-	1826	upstream	1826	ANAPC2
chrX	47062208	47062312	105	*	X13413	8552	47064247	47065254	1008	+	1934	upstream	1934	INE1
chrX	47062448	47062552	105	*	X13414	8552	47064247	47065254	1008	+	1694	upstream	1694	INE1
chrX	47516925	47517008	84	*	X13426	100133957	47518232	47519776	1545	+	1223	upstream	1223	UXT-AS1
chrX	73507389	73507423	35	*	X13477	442919	73507121	73507192	72	-	196	upstream	196	MIR374A
chrX	73507389	73507423	35	*	X13477	664614	73506939	73507044	106	-	344	upstream	344	MIR545
chrX	135962076	135962135	60	*	X13504	26787	135961358	135961430	73	-	645	upstream	645	SNORD61
chrX	153627900	153628004	105	*	X13517	26778	153628622	153628756	135	+	617	upstream	617	SNORA70
chrX	154002556	154002690	135	*	X13520	677835	154003273	154003401	129	+	582	upstream	582	SNORA56
